2100,220022012202220322042205220622082209220A,raw,220022012202220322042205220622082209220A,Gauging group data list
D52C,00,bool,00,CFG_000_TELE_BVA_DIVER_FRENELEC_TEMP: electric parking brake
D52D,01,bool,01,CFG_BS9_BSI_UCECAN_UDA_DA_000: Power steering computer
D52E,00,bool,00,CFG_BSA_BSI_UCECAN_UDS_ARTIV_000: computer system for compliance with distance between cars or intellectual cruise control
D52F,00,bool,00,CFG_BSB_BSI_UCECAN_UDS_AFS_BCP_000: computer managed
D530,00,bool,00,CFG_BSC_BSI_UCECAN_UDS_CAAR_000: pneumatic suspension
D531,00,bool,00,CFG_AO1_BIC_GYR_ACC_000: gyroscope sensors and accelerometer
D532,00,bool,00,CFG_BSE_BSI_UCECAN_ADS_ASRPLUS_000: MOLETTE de Sélection de l? Anti-Patinage ???
D533,00,bool,00,CFG_BSF_BSI_UCECAN_UDS_BIR_000: BOLEER D'OLATION Réseau ???
D534,00,bool,00,CFG_BTC_BSI_UCECAN_UDS_SAM_000: STRUCTION CLOSE
D535,00,bool,00,CFG_BTD_BSI_UCECAN_UDS_CAFR_000: computer control computer // 508
D536,01,bool,01,CFG_BTE_BSI_UCECAN_UDS_CMF_000: multifunctional video camera (CVM)
D537,00,bool,00,CFG_BTF_BSI_UCECAN_UDS_BPV_000: seats vibrators control unit
D538,00,bool,00,CFG_BZK_BSI_UCECAN_UDS_BEBA_000: computer of active shock absorbers
D539,00,bool,00,CFG_D1E_BSI_UCECAN_UDS_BSE_000: Lighting utility box ???
D53A,00,bool,00,CFG_D1F_BSI_UCECAN_UDS_HCU1_000: hybrid system 1
D53B,00,bool,00,CFG_D1G_BSI_UCECAN_UDS_HCU2_000: hybrid system 2
D53C,00,bool,00,CFG_D1G_BSI_UCECAN_UDS_HCU2_000: hybrid system 2
D53D,00,bool,00,CFG_D68_BSI_UCECAN_UDS_ECR_G_000: reversing inertial coil of the left seat belt
D53E,00,bool,00,CFG_D69_BSI_UCECAN_UDS_ECR_D_000: reversing inertial coil of the right belt belt
D53F,00,bool,00,CFG_D9E_BSI_UCECAN_UDS_DMTR_000: control unit of the on-board network
D540,00,bool,00,CFG_D9F_BSI_UCECAN_AVP_000: panoramic visual control unit (360 ° camera)
D541,00,bool,00,CFG_DBG_BSI_UCECAN_UDS_TBMU_000: traction monitoring module
D542,Request out of range,cmd answer,7F2231,CFG_DGG_BSI_UCECAN_PIU_000: panoramic visual control unit (360 ° camera)
D543,Request out of range,cmd answer,7F2231,CFG_DKK_BSI_UCECAN_UDS_BSG_E_000: BOLEER de Servitude d'éclairege ???
D544,00,bool,00,CFG_DLR_BSI_UCECAN_UDS_BVACOMELE_000: computer control computer automatic gearbox
D545,00,bool,00,CFG_EG8_BSI_UCECAN_ESM_000: impulsive gear lever
D546,00,bool,00,CFG_EIP_BSI_UCECAN_IDVR_000: Intelligent Driving Video Recording (IDVR)
D547,00,bool,00,CFG_LQ_BSI_UCECAN_CLIM_AR_000: computer of the rear air conditioning system
D548,00,bool,00,CFG_EN1_BSI_UCECAN_IVCD_000: Inside Video Camera for Driver (IVCD)
D549,00,bool,00,CFG_EN2_BSI_UCECAN_BSG_S_000: signaling switching unit
D54A,00,bool,00,CFG_EY_BSI_UCECAN_BVN_000: night vision computer
D54B,Request out of range,cmd answer,7F2231,CFG_EWA_BSI_UCECAN_CGPL_000: ???
D54C,00,bool,00,CFG_EWG_BSI_UCECAN_PFHM_FL_000: ???
D54D,00,bool,00,CFG_EWH_BSI_UCECAN_PFHM_FR_000: ???
D54E,00,bool,00,CFG_EWI_BSI_UCECAN_PFHM_RL_000: ???
D54F,00,bool,00,CFG_EWK_BSI_UCECAN_PFHM_RR_000: ???
D550,00,bool,00,CFG_EWL_BSI_UCECAN_SDCM_000: @p53052-poluxData @\*(SDCM)
D551,00,bool,00,CFG_EWM_BSI_UCECAN_WLC_000: ???
D552,Request out of range,cmd answer,7F2231,CFG_EWX_BSI_UCECAN_EBB_000: Master cylinder with electric brake booster
D553,00,bool,00,CFG_EWY_BSI_UCECAN_AVAS_000: pedestrian warning signal
D554,00,bool,00,CFG_EWZ_BSI_UCECAN_VCU_000: electronic control computer automatic gearbox
D555,00,bool,00,CFG_EX0_BSI_UCECAN_LVNSD_000: ???
D556,Request out of range,cmd answer,7F2231,CFG_FGJ_BSI_UCECAN_SWITCH_A_000: @P53414-POLUXDATA @\*2
D557,Request out of range,cmd answer,7F2231,CFG_G85_BSI_UCECAN_AUTO_GEAR_BOX_000: @P53414-POLUXDATA @\*1
D558,Request out of range,cmd answer,7F2231,CFG_GDJ_BSI_UCECAN_BSRF_000: radio frequency control unit
D559,Request out of range,cmd answer,7F2231,CFG_GDK_BSI_UCECAN_PVS_000: digital panoramic review system
D5A0,00,bool,00,CFG_BSG_BSI_UCELIN_UDDGO_000: multiplex fuel additive pump (diesel)
D5A1,00,bool,00,CFG_BSH_BSI_UCELIN_UDS_BPL_000: Ambient interior lighting box ???
D5A2,01,bool,01,CFG_BSI_BSI_UCELIN_UDS_TNB_BMF_000: Seat belt warning light
D5A3,01,bool,01,CFG_BSJ_BSI_UCELIN_UDS_SOC_BECB_000: battery charge unit
D5A4,01,bool,01,CFG_BSK_BSI_UCELIN_UDS_CDPL_000: rain / light sensor
D5A5,00,bool,00,CFG_BSL_BSI_UCELIN_UDS_ESV_000: front wiper with the LIN network
D5A6,00,bool,00,CFG_BSM_BSI_UCELIN_UDS_BPGA_000: Power Protection and Arrangement Unit (BPGA)
D5A7,00,bool,00,CFG_BSN_BSI_UCELIN_UDS_TDCAR_000: air conditioner control panel
D5A8,00,bool,00,CFG_BSO_BSI_UCELIN_UDS_DESIGNTLM_000: configured key
D5A9,01,bool,01,CFG_BSP_BSI_UCELIN_UDS_VCI_000: steering wheel with built-in governing bodies
D5AA,00,bool,00,CFG_BTH_BSI_UCELIN_UDS_HORLOGE_000: clock
D5AB,01,bool,01,CFG_D2K_BSI_UCELIN_UDS_MEAP_000: controlled air supply module
D5AC,00,bool,00,CFG_D3B_BSI_UCELIN_UDS_MUS_001: ultrasonic module
D5AD,00,bool,00,CFG_D3A_BSI_UCELIN_UDS_SIR_000: siren
D5AE,00,bool,00,CFG_DGB_BSI_UCELIN_UDS_CPR_ELEC_000: panoramic visual control unit (360 ° camera)
D5AF,00,bool,00,CFG_DGC_BSI_UCELIN_UDS_CTP_AIR_000: controlled air supply module
D5B0,00,bool,00,CFG_DGD_BSI_UCELIN_UDS_DGT_000: ???
D5B1,00,bool,00,CFG_DGE_BSI_UCELIN_UDS_FMUXAUDIO_000: ???
D5B2,00,bool,00,CFG_DGF_BSI_UCELIN_UDS_BPCA_000: ???
D5B3,00,bool,00,CFG_EBT_BSI_UCELIN_BAAS_R_000: access computer without the help of hands on the right side
D5B4,00,bool,00,CFG_EBV_BSI_UCELIN_BAAS_L_000: access computer without the help of hands on the left side
D5B5,00,bool,00,CFG_EBW_BSI_UCELIN_BAAS_T_000: access computer without help from behind
D5B6,00,bool,00,CFG_EBX_BSI_UCELIN_SPB_D_000: LIN SEAT PNEUMATIC BOX Driver ???
D5B7,00,bool,00,CFG_EBY_BSI_UCELIN_SCB_D_000: driver's comfort computer
D5B8,00,bool,00,CFG_EBZ_BSI_UCELIN_BRNCV_D_000: computer adjustment and ventilation of the front left seat
D5B9,00,bool,00,CFG_EC0_BSI_UCELIN_SPB_P_000: LIN SEAT PNEUMATIC BOX Passenger ???
D5BA,00,bool,00,CFG_EC1_BSI_UCELIN_SCB_P_000: computer comfort computer
D5BB,00,bool,00,CFG_EBU_BSI_UCELIN_BRNCV_P_000: computer adjustment and ventilation of the front right seat
D5BC,00,bool,00,CFG_e_BSI_UCELIN_BRNC_ARG_000: computer adjustment and ventilation of the rear left seat
D5BD,00,bool,00,Cfg_elb_bsi_ucelin_brnc_ard_000: computer adjustment and ventilation of the rear right seat
D5BE,00,bool,00,CFG_EN4_BSI_UCELIN_VAB_000: LIN Boitier Adaptation Video (Video Adaptor Box)
D5BF,00,bool,00,CFG_LC_BSI_UCELIN_ARS_FEU_COND_000: UCE LIN Boitier Système Adaptatif d'éclaireage Arrière Feu Conducteur ???
D5C0,00,bool,00,CFG_ELD_BSI_UCELIN_ARS_FEU_PAS_000: UCE LIN Boitier Système Adaptatif d'éclairge Arrière Feu Passager ???
D5C1,00,bool,00,CFG_ELE_BSI_UCELIN_ARS_FEU_C_C_000: UCE LIN Boitier Système Adaptatif d'éclaire Arrière Feu Complementaire Conduracteur ???
D5C2,00,bool,00,CFG_ELF_BSI_UCELIN_ARS_FEU_C_P_000: UCE LIN Boitier Système Adaptatif d'éclaire Arrière Feu Complementaire Passager ???
D5C3,00,bool,00,Cfg_elg_bsi_ucelin_to_000: @p35350-poluxdata @\*lin ???
D5C4,00,bool,00,CFG_elr_BSI_UCELIN_PLB_000: UCE LIN CALCULETER MAITRA ECLAIRAGE Polychromatique ???
D5C5,00,bool,00,CFG_EZ_BSI_UCELIN_CCE_000: air conditioning compressor
D5C7,00,bool,00,CFG_EY0_BSI_UCELIN_OCS_000: ???
D5C8,00,bool,00,CFG_EYG_BSI_UCELIN_CTPE_000: coolant electric heater
D600,Request out of range,cmd answer,7F2231,CFG_BH0_BSI_NS_PRESENCE_CDC_000: presence of CD changer
D601,Request out of range,cmd answer,7F2231,CFG_BGY_BSI_NS_DIAG_STA_RADIO_000: P19132-POLUXDATA@\*RD5 ???
D602,01,bool,01,CFG_B0B_BSI_RABAT_RETRO_TELECOM_000: Folding the rear-view mirrors using a high-frequency remote control
D603,Request out of range,cmd answer,7F2231,CFG_BK2_BSI_ns_PRESECEKMLUSBOX_000: @p4042-PoluxData @\*1 ???
